Tm,Win_Pct,Pts_For,Pts_Against,PD,SOS,Year
Cleveland Browns,.250,232,350,-118,,2008
AFC South,AFC South,AFC South,AFC South,AFC South,,2008
Tennessee Titans*,.813,375,234,141,,2008
Indianapolis Colts+,.750,377,298,79,,2008
Houston Texans,.500,366,394,-28,,2008
Jacksonville Jaguars,.313,302,367,-65,,2008
AFC West,AFC West,AFC West,AFC West,AFC West,,2008
San Diego Chargers*,.500,439,347,92,,2008
Denver Broncos,.500,370,448,-78,,2008
Oakland Raiders,.313,263,388,-125,,2008
Kansas City Chiefs,.125,291,440,-149,,2008
NFC East,NFC East,NFC East,NFC East,NFC East,,2008
New York Giants*,.750,427,294,133,,2008
Philadelphia Eagles+,.594,416,289,127,,2008
Dallas Cowboys,.563,362,365,-3,,2008
Washington Redskins,.500,265,296,-31,,2008
NFC North,NFC North,NFC North,NFC North,NFC North,,2008
Minnesota Vikings*,.625,379,333,46,,2008
Chicago Bears,.563,375,350,25,,2008
Green Bay Packers,.375,419,380,39,,2008
Detroit Lions,.000,268,517,-249,,2008
NFC South,NFC South,NFC South,NFC South,NFC South,,2008
Carolina Panthers*,.750,414,329,85,,2008
Atlanta Falcons+,.688,391,325,66,,2008
Tampa Bay Buccaneers,.563,361,323,38,,2008
New Orleans Saints,.500,463,393,70,,2008
NFC West,NFC West,NFC West,NFC West,NFC West,,2008
Arizona Cardinals*,.563,427,426,1,,2008
San Francisco 49ers,.438,339,381,-42,,2008
Seattle Seahawks,.250,294,392,-98,,2008
St. Louis Rams,.125,232,465,-233,,2008
AFC East,AFC East,AFC East,AFC East,AFC East,,2009
New England Patriots*,.625,427,285,142,,2009
New York Jets+,.563,348,236,112,,2009
Miami Dolphins,.438,360,390,-30,,2009
Buffalo Bills,.375,258,326,-68,,2009
AFC North,AFC North,AFC North,AFC North,AFC North,,2009
Cincinnati Bengals*,.625,305,291,14,,2009
Baltimore Ravens+,.563,391,261,130,,2009
Pittsburgh Steelers,.563,368,324,44,,2009
Cleveland Browns,.313,245,375,-130,,2009
AFC South,AFC South,AFC South,AFC South,AFC South,,2009
Indianapolis Colts*,.875,416,307,109,,2009
Houston Texans,.563,388,333,55,,2009
Tennessee Titans,.500,354,402,-48,,2009
Jacksonville Jaguars,.438,290,380,-90,,2009
AFC West,AFC West,AFC West,AFC West,AFC West,,2009
San Diego Chargers*,.813,454,320,134,,2009
Denver Broncos,.500,326,324,2,,2009
Oakland Raiders,.313,197,379,-182,,2009
Kansas City Chiefs,.250,294,424,-130,,2009
NFC East,NFC East,NFC East,NFC East,NFC East,,2009
Dallas Cowboys*,.688,361,250,111,,2009
Philadelphia Eagles+,.688,429,337,92,,2009
New York Giants,.500,402,427,-25,,2009
Washington Redskins,.250,266,336,-70,,2009
NFC North,NFC North,NFC North,NFC North,NFC North,,2009
Minnesota Vikings*,.750,470,312,158,,2009
Green Bay Packers+,.688,461,297,164,,2009
Chicago Bears,.438,327,375,-48,,2009
Detroit Lions,.125,262,494,-232,,2009
NFC South,NFC South,NFC South,NFC South,NFC South,,2009
New Orleans Saints*,.813,510,341,169,,2009
Atlanta Falcons,.563,363,325,38,,2009
Carolina Panthers,.500,315,308,7,,2009
Tampa Bay Buccaneers,.188,244,400,-156,,2009
NFC West,NFC West,NFC West,NFC West,NFC West,,2009
Arizona Cardinals*,.625,375,325,50,,2009
San Francisco 49ers,.500,330,281,49,,2009
Seattle Seahawks,.313,280,390,-110,,2009
St. Louis Rams,.063,175,436,-261,,2009
AFC East,AFC East,AFC East,AFC East,AFC East,,2010
New England Patriots*,.875,518,313,205,,2010
New York Jets+,.688,367,304,63,,2010
Miami Dolphins,.438,273,333,-60,,2010
Buffalo Bills,.250,283,425,-142,,2010
AFC North,AFC North,AFC North,AFC North,AFC North,,2010
Pittsburgh Steelers*,.750,375,232,143,,2010
Baltimore Ravens+,.750,357,270,87,,2010
Cleveland Browns,.313,271,332,-61,,2010
Cincinnati Bengals,.250,322,395,-73,,2010
AFC South,AFC South,AFC South,AFC South,AFC South,,2010
Indianapolis Colts*,.625,435,388,47,,2010
Jacksonville Jaguars,.500,353,419,-66,,2010
Houston Texans,.375,390,427,-37,,2010
Tennessee Titans,.375,356,339,17,,2010
AFC West,AFC West,AFC West,AFC West,AFC West,,2010
Kansas City Chiefs*,.625,366,326,40,,2010
San Diego Chargers,.563,441,322,119,,2010
Oakland Raiders,.500,410,371,39,,2010
Denver Broncos,.250,344,471,-127,,2010
NFC East,NFC East,NFC East,NFC East,NFC East,,2010
Philadelphia Eagles*,.625,439,377,62,,2010
New York Giants,.625,394,347,47,,2010
